fecha,valor,completo_mediciones,completo_umbral
2017/01,,67.7,67.7
2017/02,78.72,100.0,100.0
2017/03,173.76,100.0,100.0
2017/04,161.76,100.0,100.0
2017/05,204.48,100.0,100.0
2017/06,194.16,100.0,100.0
2017/07,253.44,100.0,100.0
2017/08,163.20,100.0,100.0
2017/09,138.96,100.0,100.0
2017/10,128.64,100.0,100.0
2017/11,90.96,100.0,100.0
2017/12,132.24,100.0,100.0
2018/01,91.26,100.0,100.0
2018/02,26.20,100.0,100.0
2018/03,,44.0,41.9
2018/04,,41.6,40.0
2018/05,114.90,100.0,100.0
2018/06,73.90,100.0,100.0
2018/07,76.10,100.0,100.0
2018/08,80.90,100.0,100.0
2018/09,63.20,100.0,100.0
2018/10,39.80,100.0,100.0
2018/11,52.80,100.0,100.0
2018/12,54.60,100.0,100.0
2019/01,36.90,100.0,100.0
2019/02,42.60,100.0,100.0
2019/03,36.60,100.0,100.0
2019/04,52.10,100.0,100.0
2019/05,110.30,100.0,100.0
2019/06,134.80,100.0,100.0
2019/07,92.30,100.0,100.0
2019/08,92.50,100.0,100.0
2019/09,45.40,100.0,100.0
2019/10,31.90,100.0,100.0
2019/11,61.90,99.8,100.0
2019/12,92.10,100.0,100.0
2020/01,129.70,100.0,100.0
2020/02,57.40,91.8,89.7
2020/03,,,
2020/04,,,
2020/05,,,
2020/06,,,
2020/07,,,
2020/08,,1.7,0.0
2020/09,119.80,100.0,100.0
2020/10,,49.3,48.4
2020/11,,,
2020/12,,,
2021/01,,,
2021/02,,,
2021/03,,75.5,74.2
2021/04,169.40,100.0,100.0
2021/05,156.40,100.0,100.0
2021/06,176.30,100.0,100.0
2021/07,,28.2,25.8
2021/08,,38.7,38.7
2021/09,158.00,100.0,100.0
2021/10,76.80,100.0,100.0
2021/11,73.90,100.0,100.0
2021/12,15.90,100.0,100.0
2022/01,0.30,100.0,100.0
2022/02,0.00,100.0,100.0
2022/03,0.00,100.0,100.0
2022/04,69.50,100.0,100.0
2022/05,129.10,100.0,100.0
2022/06,170.10,100.0,100.0
2022/07,165.20,100.0,100.0
2022/08,,69.1,64.5
2022/09,,,
2022/10,,56.9,54.8
2022/11,52.70,100.0,100.0
2022/12,,44.1,41.9
2023/01,,,
2023/02,,44.8,42.9
2023/03,167.40,100.0,100.0
2023/04,,76.1,76.7
2023/05,,,
2023/06,,59.1,56.7
2023/07,157.50,100.0,100.0
2023/08,127.90,100.0,100.0
2023/09,63.00,100.0,100.0
2023/10,45.40,100.0,100.0
2023/11,,63.3,63.3
2023/12,,45.2,45.2
2024/01,42.20,100.0,100.0
2024/02,80.30,100.0,100.0
2024/03,76.20,100.0,100.0
2024/04,129.89,100.0,100.0
2024/05,13.86,100.0,100.0
2024/06,14.83,100.0,100.0
