Fecha,P55_5_Predicho,Lower_CI,Upper_CI
2023-06-01,135.965,38.249,233.681
2023-07-01,134.931,36.665,233.197
2023-08-01,101.214,2.605,199.822
2023-09-01,94.446,-4.361,193.253
2023-10-01,109.241,9.822,208.659
2023-11-01,115.465,15.475,215.455
2023-12-01,87.188,-13.384,187.76
2024-01-01,100.63,-0.442,201.701
2024-02-01,90.006,-11.39,191.402
2024-03-01,94.853,-6.942,196.648
2024-04-01,107.299,5.075,209.524
2024-05-01,114.437,11.83,217.044
2024-06-01,145.09,42.141,248.039
2024-07-01,142.526,39.219,245.834
2024-08-01,90.938,-12.756,194.631
2024-09-01,113.278,9.196,217.359
2024-10-01,94.028,-10.86,198.916
2024-11-01,136.832,31.394,242.269
2024-12-01,86.463,-19.501,192.426
2025-01-01,97.837,-8.657,204.331
2025-02-01,97.283,-9.626,204.193
2025-03-01,157.46,50.062,264.858
2025-04-01,149.533,41.674,257.392
2025-05-01,127.16,18.926,235.395
